date,ticker,close,high,low,open,volume,etf,return_5d
2025-03-07,RDDT,133.97999572753906,148.3000030517578,131.25999450683594,147.02000427246094,13825800.0,N,
2025-03-07,VMEO,5.639999866485596,5.679999828338623,5.460000038146973,5.489999771118164,1282600.0,N,
2025-03-07,DOYU,7.559999942779541,7.840000152587891,7.150000095367432,7.599999904632568,279500.0,N,
2025-03-07,YALA,4.010000228881836,4.099999904632568,3.9600000381469727,3.990000009536743,245000.0,N,
2025-03-07,CXM,8.430000305175781,8.5600004196167,8.199999809265137,8.289999961853027,2003700.0,N,
2025-03-07,SPT,24.530000686645508,25.61000061035156,24.0,25.280000686645508,1326100.0,N,
2025-03-07,HUYA,4.070000171661377,4.300000190734863,4.005000114440918,4.110000133514404,1468900.0,N,
2025-03-07,SPOT,532.0999755859375,548.8400268554688,506.489990234375,540.52001953125,3825800.0,N,
2025-03-07,BMBL,5.079999923706055,5.175000190734863,4.610000133514404,4.639999866485596,5193800.0,N,
2025-03-07,GRND,15.140000343322754,15.449999809265137,14.420000076293944,15.4399995803833,3946400.0,N,
2025-03-07,FVRR,25.5,25.78499984741211,24.375999450683597,25.21999931335449,795700.0,N,
2025-03-07,PINS,34.29999923706055,34.65999984741211,33.125,34.27000045776367,9081600.0,N,
2025-03-07,DJT,22.5,22.600000381469727,21.6299991607666,21.899999618530277,2528700.0,N,
2025-03-07,KIND,1.7200000286102295,1.830000042915344,1.6799999475479126,1.7999999523162842,3180200.0,N,
2025-03-07,RUM,8.380000114440918,8.720000267028809,8.0,8.319999694824219,2493200.0,N,
2025-03-07,TME,13.31999969482422,13.56999969482422,13.079999923706056,13.300000190734863,5249500.0,N,
2025-03-07,BILI,24.100000381469727,24.28499984741211,22.86199951171875,23.045000076293945,10949400.0,N,
2025-03-07,SNAP,9.720000267028809,9.84000015258789,9.359999656677246,9.520000457763672,22449100.0,N,
2025-03-07,MOMO,7.650000095367432,7.71999979019165,7.579999923706055,7.630000114440918,689000.0,N,
2025-03-07,SOCL,47.04999923706055,47.38999938964844,46.15999984741211,47.08000183105469,10100.0,Y,
2025-03-07,META,625.6599731445312,634.7899780273438,600.6099853515625,625.3699951171875,21360300.0,N,
2025-03-07,ANGI,1.659999966621399,1.7100000381469729,1.5700000524520874,1.590000033378601,1442400.0,N,
2025-03-07,WB,10.920000076293944,11.229999542236328,10.789999961853027,10.970000267028809,1414100.0,N,
2025-03-07,YY,48.84000015258789,50.15999984741211,48.18999862670898,50.09999847412109,471300.0,N,
2025-03-07,YELP,35.150001525878906,35.310001373291016,33.83000183105469,33.88999938964844,1121600.0,N,
2025-03-07,GRPN,10.539999961853027,10.68000030517578,10.119999885559082,10.329999923706056,877600.0,N,
2025-03-07,BIDU,94.8000030517578,95.80999755859376,92.08000183105467,92.63999938964844,4068100.0,N,
2025-03-07,NTES,102.77999877929688,103.6999969482422,100.76000213623048,103.0,1693800.0,N,
2025-03-07,MTCH,32.619998931884766,33.48500061035156,31.059999465942383,31.1200008392334,7332500.0,N,
2025-03-07,GOOGL,173.86000061035156,174.97000122070312,170.27000427246094,171.25999450683594,27369400.0,N,
2025-03-07,IAC,44.09000015258789,44.560001373291016,42.61000061035156,44.220001220703125,1244700.0,N,
